track_id,images,human_prompt,question,answer,age_reasoning,gender_reasoning,attention_reasoning,judgment_reasoning,position_reasoning,appearance_reasoning,physical_reasoning,spatial_reasoning,temporal_reasoning,mathematical_reasoning,conclusion
V4_10,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V4_t10_f617.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V4_t10_f670.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V4_t10_f726.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as a child based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears distracted and may be less attentive to oncoming traffic, according to the metadata.","The pedestrian is giving a hand signal, suggesting an intent to cross, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V4_11,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t11_f656.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t11_f680.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t11_f703.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears distracted and may be less attentive to oncoming traffic, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V4_14,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t14_f968.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t14_f987.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t14_f1007.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as a senior based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears distracted and may be less attentive to oncoming traffic, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V4_15,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t15_f1087.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t15_f1094.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/senior/V4_t15_f1101.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as a senior based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears distracted and may be less attentive to oncoming traffic, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a formal style, according to the metadata.","The pedestrian's build is noted as a heavier build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V4_16,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t16_f1087.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t16_f1094.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t16_f1101.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as a heavier build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V4_17,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t17_f1090.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t17_f1120.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t17_f1149.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned far from the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as a heavier build, according to the metadata.","Spatially, the pedestrian is situated far from the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V4_18,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V4_t18_f1214.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V4_t18_f1261.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/child/V4_t18_f1311.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as a child based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is giving a hand signal, suggesting an intent to cross, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V4_20,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t20_f1395.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t20_f1404.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t20_f1412.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,No,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian did not cross the street.
V4_21,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t21_f1405.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t21_f1448.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t21_f1491.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is giving a hand signal, suggesting an intent to cross, according to the metadata.","The pedestrian is positioned far from the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated far from the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V4_22,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t22_f1405.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t22_f1448.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V4_t22_f1491.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned far from the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated far from the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V5_0,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V5_t0_f17.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V5_t0_f39.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V5_t0_f61.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
V5_4,/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V5_t4_f141.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V5_t4_f408.jpg;/content/drive/MyDrive/GIU.Master/EgyptPedestriansDataset_v2/age/adult/V5_t4_f675.jpg,"Will the pedestrian shown in the image cross the road? Justify using age, gender, attention, judgment, position, appearance, physical, spatial, temporal, and mathematical reasoning, then give a concise conclusion.",Did the pedestrian cross the street?,Yes,The pedestrian is categorized as an adult based on the metadata.,The pedestrian is identified as male according to the metadata.,"The pedestrian appears attentive and focused on their surroundings, according to the metadata.","The pedestrian is not giving any hand signal, according to the metadata.","The pedestrian is positioned near the road and is not on the sidewalk, according to the metadata.","The pedestrian has a minimalist fashion personality and is dressed in a casual style, according to the metadata.","The pedestrian's build is noted as an average build, according to the metadata.","Spatially, the pedestrian is situated near the road and is not on the sidewalk, consistent with the track's labeled position in the metadata.",Frame-by-frame pixel displacement is not available in this metadata source; behavior is inferred from the pedestrian's labeled attributes across the observed track rather than measured motion.,No numeric displacement or velocity metrics are available for this track; this conclusion relies on categorical behavioral and positional attributes rather than computed motion.,The pedestrian crossed the street.
